2020-11-03 01:22:12,975 p=19154 u=vagrant |  ERROR! vars file vars.yml was not found on the Ansible Controller.
2020-11-03 01:23:49,078 p=19165 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:23:49,103 p=19165 u=vagrant |  TASK [shell] *******************************************************************
2020-11-03 01:23:49,302 p=19165 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:23:49,331 p=19165 u=vagrant |  TASK [Start Elasticsearch] *****************************************************
2020-11-03 01:23:49,911 p=19165 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:23:49,943 p=19165 u=vagrant |  TASK [Wait for Elasticsearch to become available] ******************************
2020-11-03 01:24:10,453 p=19165 u=vagrant |  ok: [127.0.0.1]
2020-11-03 01:24:10,541 p=19165 u=vagrant |  TASK [Create reserved user passwords] ******************************************
2020-11-03 01:24:20,406 p=19165 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:24:20,435 p=19165 u=vagrant |  TASK [Active the 30 day X-Pack trial] ******************************************
2020-11-03 01:24:21,130 p=19165 u=vagrant |  ok: [127.0.0.1]
2020-11-03 01:24:21,166 p=19165 u=vagrant |  TASK [Wait for trial to register] **********************************************
2020-11-03 01:24:21,188 p=19165 u=vagrant |  Pausing for 60 seconds
2020-11-03 01:24:21,189 p=19165 u=vagrant |  (ctrl+C then 'C' = continue early, ctrl+C then 'A' = abort)
2020-11-03 01:25:21,198 p=19165 u=vagrant |  ok: [127.0.0.1]
2020-11-03 01:25:21,258 p=19165 u=vagrant |  TASK [Create Logstash Writer role] *********************************************
2020-11-03 01:25:21,635 p=19165 u=vagrant |  ok: [127.0.0.1]
2020-11-03 01:25:21,677 p=19165 u=vagrant |  TASK [Create logstash_internal user] *******************************************
2020-11-03 01:25:22,129 p=19165 u=vagrant |  ok: [127.0.0.1]
2020-11-03 01:25:22,131 p=19165 u=vagrant |  PLAY RECAP *********************************************************************
2020-11-03 01:25:22,132 p=19165 u=vagrant |  127.0.0.1                  : ok=41   changed=35   unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2020-11-03 01:25:24,251 p=21765 u=vagrant |  PLAY [localhost] ***************************************************************
2020-11-03 01:25:24,324 p=21765 u=vagrant |  TASK [Gathering Facts] *********************************************************
2020-11-03 01:25:25,574 p=21765 u=vagrant |  ok: [127.0.0.1]
2020-11-03 01:25:25,609 p=21765 u=vagrant |  TASK [Make Kibana available on all network interfaces] *************************
2020-11-03 01:25:25,999 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:26,040 p=21765 u=vagrant |  TASK [Create the Kibana logging directory] *************************************
2020-11-03 01:25:26,412 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:26,438 p=21765 u=vagrant |  TASK [Enable persistent Kibana logs] *******************************************
2020-11-03 01:25:26,679 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:26,741 p=21765 u=vagrant |  TASK [Creates configuration ca directory] **************************************
2020-11-03 01:25:27,078 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:27,141 p=21765 u=vagrant |  TASK [Creates configuration instance directory] ********************************
2020-11-03 01:25:27,413 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:27,469 p=21765 u=vagrant |  TASK [Copy CA certificate to kibana directory] *********************************
2020-11-03 01:25:28,254 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:28,299 p=21765 u=vagrant |  TASK [Copy instance certificate to kibana directory] ***************************
2020-11-03 01:25:28,683 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:28,713 p=21765 u=vagrant |  TASK [Copy instance key to kibana directory] ***********************************
2020-11-03 01:25:29,042 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:29,070 p=21765 u=vagrant |  TASK [Change Elasticsearch hosts] **********************************************
2020-11-03 01:25:29,267 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:29,294 p=21765 u=vagrant |  TASK [Set Elasticsearch username] **********************************************
2020-11-03 01:25:29,476 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:29,505 p=21765 u=vagrant |  TASK [Set Kibana user password] ************************************************
2020-11-03 01:25:29,694 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:29,719 p=21765 u=vagrant |  TASK [Enable SSL for Kibana server] ********************************************
2020-11-03 01:25:29,896 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:29,923 p=21765 u=vagrant |  TASK [Set path to instance certificate for server] *****************************
2020-11-03 01:25:30,115 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:30,165 p=21765 u=vagrant |  TASK [Set path to instance key for server] *************************************
2020-11-03 01:25:30,384 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:30,414 p=21765 u=vagrant |  TASK [Set path to instance certificate for elasticsearch] **********************
2020-11-03 01:25:30,600 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:30,627 p=21765 u=vagrant |  TASK [Set path to instance key for elasticsearch] ******************************
2020-11-03 01:25:30,804 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:30,831 p=21765 u=vagrant |  TASK [Set path to CA] **********************************************************
2020-11-03 01:25:31,007 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:31,032 p=21765 u=vagrant |  TASK [Set certificate verification mode for elasticsearch] *********************
2020-11-03 01:25:31,221 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:31,249 p=21765 u=vagrant |  TASK [Start Kibana] ************************************************************
2020-11-03 01:25:31,898 p=21765 u=vagrant |  changed: [127.0.0.1]
2020-11-03 01:25:31,929 p=21765 u=vagrant |  TASK [Wait for Kibana to become available] *************************************
2020-11-03 01:25:37,397 p=21765 u=vagrant |  ok: [127.0.0.1]
2020-11-03 01:25:37,432 p=21765 u=vagrant |  TASK [Wait for Kibana to be ready] *********************************************
2020-11-03 01:25:37,451 p=21765 u=vagrant |  Pausing for 120 seconds
2020-11-03 01:25:37,452 p=21765 u=vagrant |  (ctrl+C then 'C' = continue early, ctrl+C then 'A' = abort)
2020-11-03 01:27:37,460 p=21765 u=vagrant |  ok: [127.0.0.1]
2020-11-03 01:27:37,495 p=21765 u=vagrant |  TASK [Set dark mode] ***********************************************************
2020-11-03 01:27:39,351 p=21765 u=vagrant |  ok: [127.0.0.1]
2020-11-03 01:27:39,357 p=21765 u=vagrant |  PLAY RECAP *********************************************************************
2020-11-03 01:27:39,358 p=21765 u=vagrant |  127.0.0.1                  : ok=23   changed=19   unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2020-11-03 01:27:41,233 p=22571 u=vagrant |  PLAY [localhost] ***************************************************************
2020-11-03 01:27:41,252 p=22571 u=vagrant |  TASK [Gathering Facts] *********************************************************
2020-11-03 01:27:42,345 p=22571 u=vagrant |  ok: [127.0.0.1]
